"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Plant_protein_score)",0.919678991867163,0.0273583820449068,-3.06050963001161,0.00220960654807782,0.871663315949782,0.970339616919853
"scale(age)",2.88942645722697,0.0346054268868085,30.6616077354777,1.85071336636591e-206,2.69994832612331,3.09220186584485
"scale(BMI)",1.03897986155338,0.0310798859299185,1.23035616949973,0.21856375897454,0.977579043315447,1.10423720730801
"scale(PA)",0.935027180562053,0.0325809471002802,-2.06193146532434,0.0392142613410543,0.877185175044846,0.99668331529329
"scale(eGFR)",0.98146132425363,0.0295679514183015,-0.6328700460585,0.526818509988788,0.926200272564981,1.04001948556769
"factor(sex)2",1.32322157916677,0.0582761406726776,4.80590084106092,1.54056244429864e-06,1.18039628470808,1.48332841288602
"factor(race)2",0.751409655890498,0.0945534991709763,-3.0226728560836,0.00250552942713906,0.624299068879253,0.90440062961984
"factor(race)3",1.0281712636804,0.0706131774432282,0.393435801556248,0.693997631425799,0.895281099330665,1.18078684811786
"factor(race)4",0.893405181586007,0.0704322026357622,-1.60033430750165,0.109524439897403,0.778209391127454,1.02565302807301
"scale(energy)",1.06835162063969,0.0268714337439091,2.46049093589794,0.0138747076676184,1.01354073328272,1.12612660531825
"scale(smoking)",1.13845019745936,0.0191606334195854,6.76740996648194,1.31108184749418e-11,1.09648949697137,1.18201665923398
"scale(SBP)",1.10870094385268,0.0259451510527197,3.97719824027589,6.97320290263342e-05,1.05373126147774,1.16653821314552
"scale(HDL)",0.9614578999117,0.0296733638267762,-1.32457179390392,0.185313216275229,0.907135700716442,1.0190330868607
"scale(cholesterol)",0.980521681494635,0.0289565368036691,-0.67931192985736,0.496940239066764,0.926423050983731,1.03777941067007
"factor(diabetes)1",1.4228210997982,0.0692196326705346,5.09453138001598,3.49604927495746e-07,1.24231130927783,1.62955924727739
"factor(htnmeds)1",1.20306345473898,0.0557522213758142,3.31594290094264,0.000913344878954675,1.07852982080908,1.34197650190399
"factor(lipidmeds)1",0.842901573126383,0.0655251692071891,-2.60823570121292,0.00910102632933985,0.741313210037941,0.958411441153959
