"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Meat_protein_score)",1.41249978239172,0.0416311667964631,8.29573265789013,1.07917989168427e-16,1.30182280808454,1.5325861729157
"scale(age)",2.93623515110495,0.0346465638442146,31.0890339580706,3.38835658059199e-212,2.74346626899455,3.14254888424197
"scale(BMI)",1.04027806596286,0.0309417331133041,1.27620674606451,0.201882444553398,0.97906559761025,1.10531761831368
"scale(PA)",0.934885593449627,0.032393437284417,-2.07854191377682,0.0376594746373586,0.877374733621687,0.996166221053415
"scale(eGFR)",1.03017307084957,0.0280822373593175,1.05856302319406,0.289798834411993,0.975004340935722,1.08846341636298
"factor(sex)2",0.851127215457989,0.0795082157515888,-2.02738384558862,0.0426231727206522,0.728311154876629,0.99465390862506
"factor(race)2",0.716450525676342,0.0944018387584131,-3.5321990385106,0.000412119037099683,0.595430689054582,0.862067349193775
"factor(race)3",0.872523873967515,0.0722250546489642,-1.88806035840609,0.059017847888922,0.757354553617882,1.00520675158888
"factor(race)4",0.834595859983226,0.0707075441340224,-2.55711994429443,0.0105542818449488,0.7265907344122,0.958655562907277
"scale(energy)",1.06238912531545,0.0268417276081675,2.25470821440802,0.0241516497172786,1.0079428225022,1.11977646786216
"scale(smoking)",1.11418718862408,0.0193620102182328,5.58439743841912,2.34511860514135e-08,1.07269729996179,1.15728182716434
"scale(SBP)",1.09716685732002,0.0259825691718529,3.56898012714401,0.000358373605350193,1.04269256600345,1.15448709624492
"scale(HDL)",0.989400038941434,0.0295455189094471,-0.36068213465992,0.718337081465224,0.933733051413069,1.04838576247876
"scale(cholesterol)",0.946553137471703,0.0285945214717194,-1.92093331398708,0.0547401151844497,0.894963448566027,1.00111668637764
"factor(diabetes)1",1.27677060683357,0.0696290130514686,3.50908214517031,0.000449656002966652,1.11389576468822,1.46346115512024
"factor(htnmeds)1",1.18331560239639,0.0559741001467206,3.00711097410015,0.00263743461405226,1.06036491727737,1.32052257865155
"factor(lipidmeds)1",0.82214496291869,0.0650917811196662,-3.00865243184489,0.00262409127771173,0.723672677126146,0.93401666446328
